rt_id,Judge,Type,Category,Round,Heat,Stn,stanica,FW,FM,DF,CO,sm,bm,turnir,krit,val1,val2,val3,Acro 1,Acro 2,Acro 3,Acro 4,Acro 5,Acro 6,Acro 7,Acro 8
2044,A,,Rock'n'Roll-Small Formation Juniors,First round,1,105,1,-35,7,6,6.75,0,0,171,DF,1,1,1,0,0,0,0,0,0,-1,-1
2044,A,,Rock'n'Roll-Small Formation Juniors,First round,1,105,1,-35,7,6,6.75,0,0,171,FM,1,1.5,1,0,0,0,0,0,0,-1,-1
2044,A,,Rock'n'Roll-Small Formation Juniors,First round,1,105,1,-35,7,6,6.75,0,0,171,CO,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
2044,A,,Rock'n'Roll-Small Formation Juniors,First round,2,158,1,-35,8,9,7.5,-2,0,171,CO,1.5,1.5,2,0,0,0,0,0,0,-1,-1
2044,A,,Rock'n'Roll-Small Formation Juniors,First round,2,158,1,-35,8,9,7.5,-2,0,171,DF,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
2044,A,,Rock'n'Roll-Small Formation Juniors,First round,2,158,1,-35,8,9,7.5,-2,0,171,FM,1,1.5,1.5,0,0,0,0,0,0,-1,-1
2044,A,,Rock'n'Roll-Small Formation Juniors,First round,3,294,1,-35,7,7,6,-4,0,171,DF,1,1,1.5,0,0,0,0,0,0,-1,-1
2044,A,,Rock'n'Roll-Small Formation Juniors,First round,3,294,1,-35,7,7,6,-4,0,171,FM,1,1,1.5,0,0,0,0,0,0,-1,-1
2044,A,,Rock'n'Roll-Small Formation Juniors,First round,3,294,1,-35,7,7,6,-4,0,171,CO,1.5,1,1.5,0,0,0,0,0,0,-1,-1
2044,A,,Rock'n'Roll-Small Formation Juniors,First round,4,174,1,-25,10,11,9,0,0,171,DF,2,2,1.5,0,0,0,0,0,0,-1,-1
2044,A,,Rock'n'Roll-Small Formation Juniors,First round,4,174,1,-25,10,11,9,0,0,171,FM,1.5,1.5,2,0,0,0,0,0,0,-1,-1
