anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
,167,Rock'n'Roll-Beginners,First round,1,277,DF,0.86,2.3,0.3739130434782609,"[7.5, 7.5, 7.5, 8.75, 8.75, 6.25]"
,167,Rock'n'Roll-Beginners,First round,1,277,CO,1.77,2.0,0.885,"[9.0, 6.0, 6.0, 7.0, 6.0, 3.0]"
,167,Rock'n'Roll-Beginners,First round,1,277,FM,1.46,2.0,0.73,"[6.5, 5.0, 5.0, 2.5, 2.5, 5.0]"
yes,167,Rock'n'Roll-Beginners,First round,1,277,FW,18.2,14.4,1.2638888888888888,"[-35.0, -35.0, -75.0, -75.0, -75.0, -50.0]"
,167,Rock'n'Roll-Beginners,First round,1,277,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,167,Rock'n'Roll-Beginners,First round,1,277,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,167,Rock'n'Roll-Beginners,First round,1,290,DF,4.05,2.3,1.7608695652173914,"[13.75, 8.75, 8.75, 10.0, 15.0, 2.5]"
yes,167,Rock'n'Roll-Beginners,First round,1,290,CO,3.04,2.0,1.52,"[12.0, 7.0, 6.0, 8.0, 9.0, 2.0]"
,167,Rock'n'Roll-Beginners,First round,1,290,FM,1.61,2.0,0.805,"[7.5, 5.0, 6.5, 5.0, 6.5, 2.5]"
,167,Rock'n'Roll-Beginners,First round,1,290,FW,8.98,14.4,0.6236111111111111,"[-25.0, -35.0, -35.0, -50.0, -35.0, -50.0]"
,167,Rock'n'Roll-Beginners,First round,1,290,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,167,Rock'n'Roll-Beginners,First round,1,290,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,167,Rock'n'Roll-Beginners,First round,2,293,DF,1.83,2.3,0.7956521739130435,"[10.0, 11.25, 8.75, 11.25, 13.75, 13.75]"
,167,Rock'n'Roll-Beginners,First round,2,293,CO,1.07,2.0,0.535,"[8.0, 9.0, 6.0, 8.0, 9.0, 9.0]"
,167,Rock'n'Roll-Beginners,First round,2,293,FM,0.98,2.0,0.49,"[5.0, 6.5, 5.0, 5.0, 7.5, 6.5]"
,167,Rock'n'Roll-Beginners,First round,2,293,FW,6.87,14.4,0.4770833333333333,"[-25.0, -25.0, -25.0, -35.0, -15.0, -15.0]"
,167,Rock'n'Roll-Beginners,First round,2,293,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,167,Rock'n'Roll-Beginners,First round,2,293,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,167,Rock'n'Roll-Beginners,First round,2,114,DF,2.5,2.3,1.0869565217391306,"[15.0, 10.0, 7.5, 10.0, 7.5, 10.0]"
,167,Rock'n'Roll-Beginners,First round,2,114,CO,1.49,2.0,0.745,"[10.0, 8.0, 5.0, 7.0, 7.0, 7.0]"
yes,167,Rock'n'Roll-Beginners,First round,2,114,FM,2.04,2.0,1.02,"[7.5, 7.5, 5.0, 2.5, 2.5, 5.0]"
,167,Rock'n'Roll-Beginners,First round,2,114,FW,11.33,14.4,0.7868055555555555,"[-25.0, -25.0, -50.0, -50.0, -50.0, -35.0]"
,167,Rock'n'Roll-Beginners,First round,2,114,sm,1.49,2.3,0.6478260869565218,"[0.0, -2.0, 0.0, -4.0, -2.0, 0.0]"
,167,Rock'n'Roll-Beginners,First round,2,114,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,167,Rock'n'Roll-Beginners,First round,3,289,DF,2.28,2.3,0.9913043478260869,"[10.0, 11.25, 7.5, 12.5, 15.0, 11.25]"
,167,Rock'n'Roll-Beginners,First round,3,289,CO,1.67,2.0,0.835,"[11.0, 10.0, 6.0, 10.0, 10.0, 8.0]"
,167,Rock'n'Roll-Beginners,First round,3,289,FM,0.9,2.0,0.45,"[7.5, 6.5, 6.5, 6.5, 7.5, 9.0]"
,167,Rock'n'Roll-Beginners,First round,3,289,FW,8.16,14.4,0.5666666666666667,"[-25.0, -25.0, -35.0, -35.0, -15.0, -15.0]"
,167,Rock'n'Roll-Beginners,First round,3,289,sm,0.75,2.3,0.32608695652173914,"[0.0, 0.0, 0.0, -2.0, 0.0, 0.0]"
,167,Rock'n'Roll-Beginners,First round,3,289,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,167,Rock'n'Roll-Beginners,First round,3,279,DF,1.56,2.3,0.6782608695652175,"[11.25, 8.75, 6.25, 8.75, 7.5, 7.5]"
,167,Rock'n'Roll-Beginners,First round,3,279,CO,1.71,2.0,0.855,"[9.0, 8.0, 5.0, 6.0, 7.0, 4.0]"
,167,Rock'n'Roll-Beginners,First round,3,279,FM,0.71,2.0,0.355,"[5.0, 6.5, 6.5, 5.0, 5.0, 5.0]"
,167,Rock'n'Roll-Beginners,First round,3,279,FW,13.36,14.4,0.9277777777777777,"[-35.0, -35.0, -50.0, -75.0, -50.0, -50.0]"
,167,Rock'n'Roll-Beginners,First round,3,279,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,167,Rock'n'Roll-Beginners,First round,3,279,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
