Summary

Number of anomalies per part,nb of anomalies, nb of analysis made,percentage of anomalies
Dancing part,25,546,5%
Acrobatic part,5,120,4%

Number of anomalies per criteria,nb of anomalies, nb of analysis made,percentage of anomalies
Footwork woman (FW),8,91,9%
Choregraphy (CO),6,91,7%
Footwork man (FM),4,91,4%
Acrobatic figure (Acro 1 to 6),5,120,4%
Big mistakes (BM),3,91,3%
Small mistakes (SM),2,91,2%
Dance Figure (DF),2,91,2%

Number of anomalies per group,nb of anomalies, nb of analysis made,percentage of anomalies
Juniors,13,180,7%
Adults,12,294,4%
Formations,5,192,3%

Top 5 anomalies
Rock'n'Roll-Main Class Free Style,Acro 4,Final - Acrobatic,Heat 3 Stn. 63,[-15.0 -50.0 -75.0]
Rock'n'Roll-Main Class Contact Style,Acro 6,Final - Acrobatic,Heat 3 Stn. 430,[-50.0 -50.0 -100.0]
Rock'n'Roll-Main Class Start,bm,Final,Heat 2 Stn. 142,[-30.0 0.0 0.0]
Rock'n'Roll-Main Class Contact Style,bm,First round,Heat 1 Stn. 494,[0.0 0.0 -30.0]
Rock'n'Roll-Main Class Contact Style,Acro 1,First round,Heat 1 Stn. 494,[-50.0 -75.0 -100.0]

