anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
,164,Rock'n'Roll-Beginners,First round,2,6,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,164,Rock'n'Roll-Beginners,First round,2,6,bm,3.73,8.0,0.46625,"[0.0, 0.0, 0.0, 0.0, -10.0, 0.0]"
,164,Rock'n'Roll-Beginners,First round,3,350,DF,1.97,2.3,0.8565217391304348,"[7.5, 8.75, 7.5, 12.5, 11.25, 11.25]"
,164,Rock'n'Roll-Beginners,First round,3,350,CO,1.63,2.0,0.815,"[5.0, 7.0, 9.0, 8.0, 10.0, 9.0]"
,164,Rock'n'Roll-Beginners,First round,3,350,FM,1.61,2.0,0.805,"[2.5, 5.0, 6.5, 6.5, 5.0, 7.5]"
yes,164,Rock'n'Roll-Beginners,First round,3,350,FW,17.18,14.4,1.1930555555555555,"[-75.0, -50.0, -50.0, -25.0, -50.0, -25.0]"
,164,Rock'n'Roll-Beginners,First round,3,350,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,164,Rock'n'Roll-Beginners,First round,3,350,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,164,Rock'n'Roll-Beginners,First round,3,290,DF,1.83,2.3,0.7956521739130435,"[7.5, 8.75, 7.5, 12.5, 10.0, 7.5]"
yes,164,Rock'n'Roll-Beginners,First round,3,290,CO,2.34,2.0,1.17,"[6.0, 5.0, 8.0, 10.0, 10.0, 4.0]"
,164,Rock'n'Roll-Beginners,First round,3,290,FM,1.18,2.0,0.59,"[6.5, 5.0, 5.0, 5.0, 2.5, 5.0]"
,164,Rock'n'Roll-Beginners,First round,3,290,FW,5.59,14.4,0.3881944444444444,"[-50.0, -50.0, -50.0, -35.0, -50.0, -50.0]"
,164,Rock'n'Roll-Beginners,First round,3,290,sm,2.21,2.3,0.9608695652173913,"[0.0, -6.0, 0.0, 0.0, -2.0, 0.0]"
,164,Rock'n'Roll-Beginners,First round,3,290,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,164,Rock'n'Roll-Beginners,First round,4,114,DF,1.56,2.3,0.6782608695652175,"[8.75, 12.5, 12.5, 11.25, 13.75, 11.25]"
yes,164,Rock'n'Roll-Beginners,First round,4,114,CO,2.19,2.0,1.095,"[6.0, 7.0, 9.0, 9.0, 13.0, 9.0]"
,164,Rock'n'Roll-Beginners,First round,4,114,FM,1.61,2.0,0.805,"[2.5, 6.5, 7.5, 6.5, 6.5, 6.5]"
,164,Rock'n'Roll-Beginners,First round,4,114,FW,7.31,14.4,0.5076388888888889,"[-50.0, -35.0, -35.0, -25.0, -35.0, -35.0]"
,164,Rock'n'Roll-Beginners,First round,4,114,sm,1.49,2.3,0.6478260869565218,"[0.0, 0.0, -2.0, -4.0, -2.0, 0.0]"
,164,Rock'n'Roll-Beginners,First round,4,114,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,164,Rock'n'Roll-Beginners,First round,4,276,DF,2.04,2.3,0.8869565217391305,"[5.0, 3.75, 6.25, 7.5, 10.0, 5.0]"
,164,Rock'n'Roll-Beginners,First round,4,276,CO,1.71,2.0,0.855,"[4.0, 5.0, 8.0, 6.0, 7.0, 3.0]"
,164,Rock'n'Roll-Beginners,First round,4,276,FM,1.18,2.0,0.59,"[2.5, 5.0, 5.0, 5.0, 5.0, 2.5]"
,164,Rock'n'Roll-Beginners,First round,4,276,FW,11.79,14.4,0.8187499999999999,"[-75.0, -50.0, -50.0, -50.0, -50.0, -75.0]"
yes,164,Rock'n'Roll-Beginners,First round,4,276,sm,2.92,2.3,1.2695652173913043,"[0.0, 0.0, -4.0, -8.0, 0.0, -2.0]"
,164,Rock'n'Roll-Beginners,First round,4,276,bm,4.71,8.0,0.58875,"[-10.0, 0.0, 0.0, 0.0, -10.0, 0.0]"
,164,Rock'n'Roll-Beginners,First round,5,279,DF,1.38,2.3,0.6,"[7.5, 8.75, 10.0, 11.25, 8.75, 11.25]"
,164,Rock'n'Roll-Beginners,First round,5,279,CO,0.69,2.0,0.345,"[7.0, 7.0, 7.0, 8.0, 8.0, 6.0]"
,164,Rock'n'Roll-Beginners,First round,5,279,FM,1.18,2.0,0.59,"[5.0, 5.0, 6.5, 5.0, 2.5, 5.0]"
yes,164,Rock'n'Roll-Beginners,First round,5,279,FW,18.12,14.4,1.2583333333333333,"[-75.0, -50.0, -50.0, -35.0, -50.0, -15.0]"
,164,Rock'n'Roll-Beginners,First round,5,279,sm,0.94,2.3,0.40869565217391307,"[0.0, 0.0, 0.0, -2.0, -2.0, 0.0]"
,164,Rock'n'Roll-Beginners,First round,5,279,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,164,Rock'n'Roll-Beginners,Final,1,114,DF,0.93,2.3,0.4043478260869566,"[8.75, 10.0, 8.75, 11.25, 8.75, 10.0]"
,164,Rock'n'Roll-Beginners,Final,1,114,CO,1.15,2.0,0.575,"[6.0, 5.0, 8.0, 8.0, 7.0, 8.0]"
,164,Rock'n'Roll-Beginners,Final,1,114,FM,0.71,2.0,0.355,"[5.0, 5.0, 5.0, 6.5, 6.5, 5.0]"
,164,Rock'n'Roll-Beginners,Final,1,114,FW,5.59,14.4,0.3881944444444444,"[-50.0, -50.0, -50.0, -35.0, -50.0, -50.0]"
