anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
,159,Rock'n'Roll-Beginners,First round,1,3,DF,0.86,2.3,0.3739130434782609,"[10.0, 11.25, 11.25, 10.0, 8.75, 10.0]"
,159,Rock'n'Roll-Beginners,First round,1,3,CO,0.94,2.0,0.47,"[8.0, 8.0, 9.0, 10.0, 8.0, 7.0]"
,159,Rock'n'Roll-Beginners,First round,1,3,FM,0.47,2.0,0.235,"[6.5, 7.5, 7.5, 6.5, 6.5, 6.5]"
,159,Rock'n'Roll-Beginners,First round,1,3,FW,8.37,14.4,0.5812499999999999,"[-35.0, -25.0, -35.0, -50.0, -25.0, -35.0]"
,159,Rock'n'Roll-Beginners,First round,1,3,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,159,Rock'n'Roll-Beginners,First round,1,3,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,159,Rock'n'Roll-Beginners,First round,1,192,DF,1.73,2.3,0.7521739130434784,"[13.75, 8.75, 11.25, 11.25, 13.75, 12.5]"
,159,Rock'n'Roll-Beginners,First round,1,192,CO,1.57,2.0,0.785,"[9.0, 6.0, 10.0, 9.0, 11.0, 10.0]"
,159,Rock'n'Roll-Beginners,First round,1,192,FM,0.93,2.0,0.465,"[8.5, 6.5, 6.5, 9.0, 7.5, 7.5]"
,159,Rock'n'Roll-Beginners,First round,1,192,FW,9.32,14.4,0.6472222222222223,"[-25.0, -35.0, -25.0, -10.0, -35.0, -15.0]"
,159,Rock'n'Roll-Beginners,First round,1,192,sm,0.75,2.3,0.32608695652173914,"[-2.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,159,Rock'n'Roll-Beginners,First round,1,192,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,159,Rock'n'Roll-Beginners,First round,2,238,DF,1.91,2.3,0.8304347826086956,"[12.5, 7.5, 11.25, 10.0, 11.25, 7.5]"
yes,159,Rock'n'Roll-Beginners,First round,2,238,CO,2.14,2.0,1.07,"[12.0, 6.0, 8.0, 7.0, 6.0, 6.0]"
,159,Rock'n'Roll-Beginners,First round,2,238,FM,1.18,2.0,0.59,"[7.5, 5.0, 5.0, 7.5, 5.0, 5.0]"
,159,Rock'n'Roll-Beginners,First round,2,238,FW,8.37,14.4,0.5812499999999999,"[-35.0, -35.0, -25.0, -25.0, -35.0, -50.0]"
,159,Rock'n'Roll-Beginners,First round,2,238,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,159,Rock'n'Roll-Beginners,First round,2,238,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,159,Rock'n'Roll-Beginners,First round,2,258,DF,2.04,2.3,0.8869565217391305,"[6.25, 8.75, 7.5, 7.5, 12.5, 10.0]"
