anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
,157,Rock'n'Roll-Beginners,Final,1,3,DF,0.93,2.3,0.4043478260869566,"[13.75, 11.25, 13.75, 12.5, 13.75, 12.5]"
,157,Rock'n'Roll-Beginners,Final,1,3,CO,0.94,2.0,0.47,"[8.0, 10.0, 11.0, 9.0, 10.0, 10.0]"
,157,Rock'n'Roll-Beginners,Final,1,3,FM,0.73,2.0,0.365,"[9.5, 9.0, 8.5, 7.5, 8.5, 7.5]"
,157,Rock'n'Roll-Beginners,Final,1,3,FW,10.17,14.4,0.7062499999999999,"[-5.0, -25.0, -10.0, -25.0, -25.0, -35.0]"
,157,Rock'n'Roll-Beginners,Final,1,3,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,157,Rock'n'Roll-Beginners,Final,1,3,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,157,Rock'n'Roll-Beginners,Final,2,258,DF,1.18,2.3,0.5130434782608696,"[10.0, 8.75, 12.5, 11.25, 11.25, 11.25]"
,157,Rock'n'Roll-Beginners,Final,2,258,CO,0.75,2.0,0.375,"[10.0, 8.0, 9.0, 9.0, 10.0, 10.0]"
,157,Rock'n'Roll-Beginners,Final,2,258,FM,1.72,2.0,0.86,"[7.5, 5.0, 5.0, 7.5, 5.0, 2.5]"
,157,Rock'n'Roll-Beginners,Final,2,258,FW,12.13,14.4,0.8423611111111111,"[-10.0, -25.0, -35.0, -35.0, -35.0, -50.0]"
,157,Rock'n'Roll-Beginners,Final,2,258,sm,0.75,2.3,0.32608695652173914,"[0.0, 0.0, -2.0, 0.0, 0.0, 0.0]"
,157,Rock'n'Roll-Beginners,Final,2,258,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,157,Rock'n'Roll-Juveniles,Final,1,193,DF,1.2,2.3,0.5217391304347826,"[10.0, 11.25, 10.0, 11.25, 12.5, 8.75]"
yes,157,Rock'n'Roll-Juveniles,Final,1,193,CO,2.19,2.0,1.095,"[9.0, 7.0, 9.0, 9.0, 14.0, 11.0]"
,157,Rock'n'Roll-Juveniles,Final,1,193,FM,0.76,2.0,0.38,"[8.5, 6.5, 7.5, 6.5, 6.5, 6.5]"
,157,Rock'n'Roll-Juveniles,Final,1,193,FW,13.44,14.4,0.9333333333333332,"[-10.0, -35.0, -15.0, -50.0, -35.0, -25.0]"
,157,Rock'n'Roll-Juveniles,Final,1,193,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,157,Rock'n'Roll-Juveniles,Final,1,193,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,157,Rock'n'Roll-Juveniles,Final,2,182,DF,2.33,2.3,1.0130434782608697,"[12.5, 10.0, 12.5, 12.5, 17.5, 11.25]"
yes,157,Rock'n'Roll-Juveniles,Final,2,182,CO,2.08,2.0,1.04,"[9.0, 7.0, 10.0, 10.0, 14.0, 10.0]"
,157,Rock'n'Roll-Juveniles,Final,2,182,FM,1.07,2.0,0.535,"[9.5, 7.5, 8.5, 7.5, 6.5, 6.5]"
,157,Rock'n'Roll-Juveniles,Final,2,182,FW,6.24,14.4,0.43333333333333335,"[-10.0, -15.0, -10.0, -25.0, -15.0, -25.0]"
,157,Rock'n'Roll-Juveniles,Final,2,182,sm,1.49,2.3,0.6478260869565218,"[-4.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,157,Rock'n'Roll-Juveniles,Final,2,182,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,157,Rock'n'Roll-Juveniles,Final,3,27,DF,1.33,2.3,0.5782608695652175,"[12.5, 8.75, 11.25, 11.25, 12.5, 10.0]"
yes,157,Rock'n'Roll-Juveniles,Final,3,27,CO,2.13,2.0,1.065,"[11.0, 8.0, 7.0, 11.0, 13.0, 8.0]"
,157,Rock'n'Roll-Juveniles,Final,3,27,FM,0.9,2.0,0.45,"[9.0, 7.5, 6.5, 7.5, 6.5, 6.5]"
,157,Rock'n'Roll-Juveniles,Final,3,27,FW,6.87,14.4,0.4770833333333333,"[-15.0, -25.0, -25.0, -25.0, -35.0, -35.0]"
,157,Rock'n'Roll-Juveniles,Final,3,27,sm,0.75,2.3,0.32608695652173914,"[0.0, 0.0, -2.0, 0.0, 0.0, 0.0]"
,157,Rock'n'Roll-Juveniles,Final,3,27,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,157,Rock'n'Roll-Juveniles,Final,4,235,DF,2.67,2.3,1.1608695652173913,"[16.25, 16.25, 11.25, 15.0, 20.0, 13.75]"
yes,157,Rock'n'Roll-Juveniles,Final,4,235,CO,2.52,2.0,1.26,"[12.0, 10.0, 9.0, 12.0, 17.0, 12.0]"
,157,Rock'n'Roll-Juveniles,Final,4,235,FM,0.8,2.0,0.4,"[10.0, 8.5, 8.5, 7.5, 9.5, 9.0]"
,157,Rock'n'Roll-Juveniles,Final,4,235,FW,8.37,14.4,0.5812499999999999,"[0.0, -15.0, -25.0, -25.0, -15.0, -15.0]"
,157,Rock'n'Roll-Juveniles,Final,4,235,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,157,Rock'n'Roll-Juveniles,Final,4,235,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,157,Rock'n'Roll-Juveniles,Final,5,57,DF,1.88,2.3,0.8173913043478261,"[13.75, 10.0, 13.75, 10.0, 13.75, 10.0]"
,157,Rock'n'Roll-Juveniles,Final,5,57,CO,1.8,2.0,0.9,"[7.0, 6.0, 11.0, 9.0, 10.0, 7.0]"
,157,Rock'n'Roll-Juveniles,Final,5,57,FM,1.13,2.0,0.565,"[9.0, 6.5, 9.0, 6.5, 9.0, 7.5]"
,157,Rock'n'Roll-Juveniles,Final,5,57,FW,14.07,14.4,0.9770833333333333,"[-5.0, -25.0, -15.0, -50.0, -15.0, -25.0]"
