anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
,162,Rock'n'Roll-Beginners,Final,1,131,DF,1.2,2.3,0.5217391304347826,"[10.0, 12.5, 11.25, 13.75, 12.5, 11.25]"
,162,Rock'n'Roll-Beginners,Final,1,131,CO,0.82,2.0,0.41,"[8.0, 10.0, 8.0, 9.0, 10.0, 9.0]"
,162,Rock'n'Roll-Beginners,Final,1,131,FM,0.47,2.0,0.235,"[6.5, 7.5, 7.5, 6.5, 6.5, 6.5]"
,162,Rock'n'Roll-Beginners,Final,1,131,FW,9.01,14.4,0.6256944444444444,"[-35.0, -25.0, -25.0, -25.0, -50.0, -35.0]"
,162,Rock'n'Roll-Beginners,Final,1,131,sm,0.75,2.3,0.32608695652173914,"[-2.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,162,Rock'n'Roll-Beginners,Final,1,131,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,162,Rock'n'Roll-Beginners,Final,2,3,DF,1.68,2.3,0.7304347826086957,"[11.25, 15.0, 10.0, 13.75, 12.5, 13.75]"
,162,Rock'n'Roll-Beginners,Final,2,3,CO,1.25,2.0,0.625,"[10.0, 10.0, 7.0, 10.0, 10.0, 11.0]"
,162,Rock'n'Roll-Beginners,Final,2,3,FM,1.3,2.0,0.65,"[5.0, 8.5, 7.5, 8.5, 6.5, 8.5]"
,162,Rock'n'Roll-Beginners,Final,2,3,FW,13.04,14.4,0.9055555555555554,"[-35.0, -15.0, -15.0, -25.0, -50.0, -15.0]"
,162,Rock'n'Roll-Beginners,Final,2,3,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,162,Rock'n'Roll-Beginners,Final,2,3,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,162,Rock'n'Roll-Beginners,Final,3,192,DF,1.4,2.3,0.6086956521739131,"[11.25, 11.25, 8.75, 12.5, 11.25, 8.75]"
,162,Rock'n'Roll-Beginners,Final,3,192,CO,1.6,2.0,0.8,"[9.0, 9.0, 6.0, 8.0, 11.0, 7.0]"
,162,Rock'n'Roll-Beginners,Final,3,192,FM,0.47,2.0,0.235,"[7.5, 7.5, 7.5, 6.5, 6.5, 7.5]"
,162,Rock'n'Roll-Beginners,Final,3,192,FW,7.31,14.4,0.5076388888888889,"[-10.0, -25.0, -35.0, -25.0, -25.0, -25.0]"
,162,Rock'n'Roll-Beginners,Final,3,192,sm,0.75,2.3,0.32608695652173914,"[-2.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,162,Rock'n'Roll-Beginners,Final,3,192,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,162,Rock'n'Roll-Beginners,Final,4,218,DF,1.4,2.3,0.6086956521739131,"[10.0, 11.25, 7.5, 10.0, 10.0, 7.5]"
yes,162,Rock'n'Roll-Beginners,Final,4,218,CO,2.11,2.0,1.055,"[7.0, 8.0, 7.0, 8.0, 12.0, 5.0]"
,162,Rock'n'Roll-Beginners,Final,4,218,FM,1.34,2.0,0.67,"[5.0, 6.5, 5.0, 6.5, 2.5, 5.0]"
yes,162,Rock'n'Roll-Beginners,Final,4,218,FW,17.42,14.4,1.2097222222222224,"[-75.0, -25.0, -35.0, -25.0, -50.0, -35.0]"
,162,Rock'n'Roll-Beginners,Final,4,218,sm,1.49,2.3,0.6478260869565218,"[0.0, 0.0, 0.0, 0.0, -4.0, 0.0]"
,162,Rock'n'Roll-Beginners,Final,4,218,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,162,Rock'n'Roll-Beginners,Final,5,238,DF,2.21,2.3,0.9608695652173913,"[6.25, 10.0, 7.5, 8.75, 10.0, 3.75]"
,162,Rock'n'Roll-Beginners,Final,5,238,CO,1.89,2.0,0.945,"[8.0, 8.0, 6.0, 7.0, 11.0, 5.0]"
,162,Rock'n'Roll-Beginners,Final,5,238,FM,0.71,2.0,0.355,"[5.0, 6.5, 5.0, 5.0, 6.5, 5.0]"
,162,Rock'n'Roll-Beginners,Final,5,238,FW,7.07,14.4,0.49097222222222225,"[-50.0, -35.0, -50.0, -35.0, -50.0, -50.0]"
,162,Rock'n'Roll-Beginners,Final,5,238,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,162,Rock'n'Roll-Beginners,Final,5,238,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,162,Rock'n'Roll-Beginners,Final,6,62,DF,0.95,2.3,0.41304347826086957,"[12.5, 13.75, 11.25, 11.25, 11.25, 11.25]"
,162,Rock'n'Roll-Beginners,Final,6,62,CO,1.57,2.0,0.785,"[9.0, 10.0, 8.0, 9.0, 12.0, 7.0]"
,162,Rock'n'Roll-Beginners,Final,6,62,FM,0.47,2.0,0.235,"[7.5, 7.5, 7.5, 8.5, 7.5, 8.5]"
,162,Rock'n'Roll-Beginners,Final,6,62,FW,5.0,14.4,0.3472222222222222,"[-15.0, -25.0, -25.0, -15.0, -25.0, -15.0]"
,162,Rock'n'Roll-Beginners,Final,6,62,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,162,Rock'n'Roll-Beginners,Final,6,62,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,162,Rock'n'Roll-Juveniles,First round,1,27,DF,1.33,2.3,0.5782608695652175,"[11.25, 11.25, 12.5, 11.25, 12.5, 15.0]"
,162,Rock'n'Roll-Juveniles,First round,1,27,CO,1.37,2.0,0.685,"[8.0, 8.0, 10.0, 9.0, 9.0, 12.0]"
,162,Rock'n'Roll-Juveniles,First round,1,27,FM,0.69,2.0,0.345,"[8.5, 7.5, 8.5, 7.5, 6.5, 7.5]"
,162,Rock'n'Roll-Juveniles,First round,1,27,FW,8.16,14.4,0.5666666666666667,"[-15.0, -35.0, -15.0, -25.0, -35.0, -25.0]"
,162,Rock'n'Roll-Juveniles,First round,1,27,sm,0.75,2.3,0.32608695652173914,"[-2.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,162,Rock'n'Roll-Juveniles,First round,1,27,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,162,Rock'n'Roll-Juveniles,First round,1,134,DF,2.57,2.3,1.117391304347826,"[15.0, 13.75, 8.75, 10.0, 15.0, 15.0]"
yes,162,Rock'n'Roll-Juveniles,First round,1,134,CO,2.14,2.0,1.07,"[9.0, 10.0, 6.0, 8.0, 12.0, 12.0]"
,162,Rock'n'Roll-Juveniles,First round,1,134,FM,0.69,2.0,0.345,"[8.5, 6.5, 7.5, 7.5, 6.5, 7.5]"
,162,Rock'n'Roll-Juveniles,First round,1,134,FW,4.71,14.4,0.32708333333333334,"[-25.0, -35.0, -25.0, -25.0, -35.0, -25.0]"
,162,Rock'n'Roll-Juveniles,First round,1,134,sm,1.49,2.3,0.6478260869565218,"[0.0, -4.0, 0.0, 0.0, 0.0, 0.0]"
,162,Rock'n'Roll-Juveniles,First round,1,134,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,162,Rock'n'Roll-Juveniles,First round,2,260,DF,1.38,2.3,0.6,"[13.75, 13.75, 11.25, 12.5, 11.25, 10.0]"
,162,Rock'n'Roll-Juveniles,First round,2,260,CO,1.71,2.0,0.855,"[11.0, 10.0, 9.0, 10.0, 11.0, 6.0]"
,162,Rock'n'Roll-Juveniles,First round,2,260,FM,1.02,2.0,0.51,"[9.0, 7.5, 6.5, 8.5, 6.5, 6.5]"
yes,162,Rock'n'Roll-Juveniles,First round,2,260,FW,15.72,14.4,1.0916666666666668,"[-15.0, -25.0, -15.0, -15.0, -50.0, -50.0]"
,162,Rock'n'Roll-Juveniles,First round,2,260,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,162,Rock'n'Roll-Juveniles,First round,2,260,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,162,Rock'n'Roll-Juveniles,First round,2,213,DF,0.93,2.3,0.4043478260869566,"[10.0, 10.0, 10.0, 10.0, 10.0, 7.5]"
,162,Rock'n'Roll-Juveniles,First round,2,213,CO,1.26,2.0,0.63,"[7.0, 7.0, 8.0, 7.0, 10.0, 6.0]"
,162,Rock'n'Roll-Juveniles,First round,2,213,FM,1.02,2.0,0.51,"[8.5, 5.0, 6.5, 6.5, 6.5, 6.5]"
,162,Rock'n'Roll-Juveniles,First round,2,213,FW,12.25,14.4,0.8506944444444444,"[-10.0, -35.0, -25.0, -25.0, -50.0, -35.0]"
,162,Rock'n'Roll-Juveniles,First round,2,213,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,162,Rock'n'Roll-Juveniles,First round,2,213,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,162,Rock'n'Roll-Juveniles,First round,3,182,DF,1.12,2.3,0.4869565217391305,"[11.25, 11.25, 13.75, 11.25, 13.75, 12.5]"
,162,Rock'n'Roll-Juveniles,First round,3,182,CO,0.9,2.0,0.45,"[10.0, 9.0, 10.0, 10.0, 12.0, 10.0]"
,162,Rock'n'Roll-Juveniles,First round,3,182,FM,0.5,2.0,0.25,"[8.5, 7.5, 8.5, 7.5, 7.5, 8.5]"
,162,Rock'n'Roll-Juveniles,First round,3,182,FW,6.07,14.4,0.4215277777777778,"[-10.0, -25.0, -15.0, -25.0, -25.0, -15.0]"
,162,Rock'n'Roll-Juveniles,First round,3,182,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,162,Rock'n'Roll-Juveniles,First round,3,182,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,162,Rock'n'Roll-Juveniles,First round,3,57,DF,0.47,2.3,0.20434782608695654,"[10.0, 10.0, 10.0, 10.0, 10.0, 11.25]"
,162,Rock'n'Roll-Juveniles,First round,3,57,CO,1.21,2.0,0.605,"[9.0, 8.0, 7.0, 9.0, 11.0, 9.0]"
,162,Rock'n'Roll-Juveniles,First round,3,57,FM,0.9,2.0,0.45,"[8.5, 6.5, 8.5, 6.5, 7.5, 6.5]"
,162,Rock'n'Roll-Juveniles,First round,3,57,FW,9.32,14.4,0.6472222222222223,"[-10.0, -35.0, -25.0, -35.0, -35.0, -35.0]"
,162,Rock'n'Roll-Juveniles,First round,3,57,sm,0.94,2.3,0.40869565217391307,"[0.0, 0.0, -2.0, -2.0, 0.0, 0.0]"
,162,Rock'n'Roll-Juveniles,First round,3,57,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,162,Rock'n'Roll-Juveniles,First round,4,7,DF,0.86,2.3,0.3739130434782609,"[11.25, 11.25, 10.0, 10.0, 8.75, 10.0]"
,162,Rock'n'Roll-Juveniles,First round,4,7,CO,1.11,2.0,0.555,"[9.0, 8.0, 6.0, 7.0, 9.0, 7.0]"
,162,Rock'n'Roll-Juveniles,First round,4,7,FM,0.75,2.0,0.375,"[6.5, 7.5, 6.5, 7.5, 8.5, 6.5]"
,162,Rock'n'Roll-Juveniles,First round,4,7,FW,5.0,14.4,0.3472222222222222,"[-25.0, -35.0, -25.0, -35.0, -25.0, -35.0]"
