anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
,160,Rock'n'Roll-Beginners,Final,1,131,DF,1.86,2.3,0.8086956521739131,"[11.25, 10.0, 13.75, 10.0, 12.5, 15.0]"
,160,Rock'n'Roll-Beginners,Final,1,131,CO,1.61,2.0,0.805,"[8.0, 10.0, 10.0, 7.0, 10.0, 12.0]"
,160,Rock'n'Roll-Beginners,Final,1,131,FM,0.5,2.0,0.25,"[6.5, 7.5, 7.5, 6.5, 6.5, 7.5]"
,160,Rock'n'Roll-Beginners,Final,1,131,FW,10.7,14.4,0.7430555555555555,"[-35.0, -35.0, -15.0, -50.0, -35.0, -25.0]"
,160,Rock'n'Roll-Beginners,Final,1,131,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,160,Rock'n'Roll-Beginners,Final,1,131,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,160,Rock'n'Roll-Beginners,Final,2,3,DF,1.56,2.3,0.6782608695652175,"[13.75, 12.5, 12.5, 10.0, 13.75, 15.0]"
,160,Rock'n'Roll-Beginners,Final,2,3,CO,0.75,2.0,0.375,"[10.0, 9.0, 9.0, 9.0, 11.0, 10.0]"
,160,Rock'n'Roll-Beginners,Final,2,3,FM,0.82,2.0,0.41,"[8.5, 7.5, 6.5, 6.5, 7.5, 8.5]"
,160,Rock'n'Roll-Beginners,Final,2,3,FW,6.87,14.4,0.4770833333333333,"[-25.0, -15.0, -25.0, -35.0, -25.0, -15.0]"
,160,Rock'n'Roll-Beginners,Final,2,3,sm,1.0,2.3,0.4347826086956522,"[0.0, 0.0, -2.0, 0.0, -2.0, -2.0]"
,160,Rock'n'Roll-Beginners,Final,2,3,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,160,Rock'n'Roll-Beginners,Final,3,218,DF,1.86,2.3,0.8086956521739131,"[7.5, 10.0, 8.75, 7.5, 11.25, 12.5]"
,160,Rock'n'Roll-Beginners,Final,3,218,CO,1.07,2.0,0.535,"[7.0, 8.0, 8.0, 7.0, 10.0, 9.0]"
,160,Rock'n'Roll-Beginners,Final,3,218,FM,0.71,2.0,0.355,"[5.0, 6.5, 6.5, 5.0, 6.5, 6.5]"
,160,Rock'n'Roll-Beginners,Final,3,218,FW,7.5,14.4,0.5208333333333334,"[-50.0, -35.0, -35.0, -50.0, -50.0, -35.0]"
,160,Rock'n'Roll-Beginners,Final,3,218,sm,0.75,2.3,0.32608695652173914,"[0.0, 0.0, -2.0, 0.0, 0.0, 0.0]"
,160,Rock'n'Roll-Beginners,Final,3,218,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,160,Rock'n'Roll-Beginners,Final,4,238,DF,2.28,2.3,0.9913043478260869,"[8.75, 11.25, 12.5, 6.25, 12.5, 8.75]"
,160,Rock'n'Roll-Beginners,Final,4,238,CO,1.67,2.0,0.835,"[10.0, 9.0, 11.0, 7.0, 11.0, 7.0]"
,160,Rock'n'Roll-Beginners,Final,4,238,FM,0.71,2.0,0.355,"[6.5, 6.5, 6.5, 5.0, 6.5, 5.0]"
,160,Rock'n'Roll-Beginners,Final,4,238,FW,8.98,14.4,0.6236111111111111,"[-35.0, -50.0, -25.0, -50.0, -35.0, -35.0]"
,160,Rock'n'Roll-Beginners,Final,4,238,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,160,Rock'n'Roll-Beginners,Final,4,238,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,160,Rock'n'Roll-Juveniles,Final,1,27,DF,1.57,2.3,0.682608695652174,"[12.5, 11.25, 13.75, 8.75, 12.5, 12.5]"
,160,Rock'n'Roll-Juveniles,Final,1,27,CO,1.41,2.0,0.705,"[11.0, 9.0, 11.0, 8.0, 12.0, 9.0]"
,160,Rock'n'Roll-Juveniles,Final,1,27,FM,0.84,2.0,0.42,"[7.5, 6.5, 9.0, 6.5, 7.5, 7.5]"
,160,Rock'n'Roll-Juveniles,Final,1,27,FW,6.87,14.4,0.4770833333333333,"[-25.0, -25.0, -35.0, -35.0, -15.0, -25.0]"
,160,Rock'n'Roll-Juveniles,Final,1,27,sm,1.0,2.3,0.4347826086956522,"[0.0, -2.0, 0.0, -2.0, -2.0, 0.0]"
,160,Rock'n'Roll-Juveniles,Final,1,27,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,160,Rock'n'Roll-Juveniles,Final,2,153,DF,1.97,2.3,0.8565217391304348,"[11.25, 11.25, 12.5, 8.75, 15.0, 10.0]"
,160,Rock'n'Roll-Juveniles,Final,2,153,CO,1.57,2.0,0.785,"[9.0, 10.0, 8.0, 7.0, 12.0, 9.0]"
,160,Rock'n'Roll-Juveniles,Final,2,153,FM,0.56,2.0,0.28,"[6.5, 6.5, 5.0, 6.5, 6.5, 6.5]"
,160,Rock'n'Roll-Juveniles,Final,2,153,FW,5.0,14.4,0.3472222222222222,"[-35.0, -25.0, -25.0, -25.0, -35.0, -35.0]"
,160,Rock'n'Roll-Juveniles,Final,2,153,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,160,Rock'n'Roll-Juveniles,Final,2,153,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,160,Rock'n'Roll-Juveniles,Final,3,134,DF,2.76,2.3,1.2,"[13.75, 7.5, 15.0, 11.25, 15.0, 15.0]"
yes,160,Rock'n'Roll-Juveniles,Final,3,134,CO,2.24,2.0,1.12,"[11.0, 7.0, 10.0, 8.0, 14.0, 10.0]"
,160,Rock'n'Roll-Juveniles,Final,3,134,FM,1.83,2.0,0.915,"[7.5, 6.5, 2.5, 7.5, 7.5, 7.5]"
yes,160,Rock'n'Roll-Juveniles,Final,3,134,FW,18.26,14.4,1.2680555555555557,"[-25.0, -25.0, -75.0, -35.0, -25.0, -25.0]"
yes,160,Rock'n'Roll-Juveniles,Final,3,134,sm,3.77,2.3,1.6391304347826088,"[-4.0, -6.0, 0.0, 0.0, -10.0, -8.0]"
,160,Rock'n'Roll-Juveniles,Final,3,134,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,160,Rock'n'Roll-Juveniles,Final,4,235,DF,1.61,2.3,0.7000000000000001,"[16.25, 15.0, 16.25, 13.75, 17.5, 18.75]"
yes,160,Rock'n'Roll-Juveniles,Final,4,235,CO,2.22,2.0,1.11,"[13.0, 12.0, 8.0, 9.0, 14.0, 13.0]"
,160,Rock'n'Roll-Juveniles,Final,4,235,FM,0.19,2.0,0.095,"[9.0, 9.0, 9.0, 9.0, 9.5, 9.0]"
,160,Rock'n'Roll-Juveniles,Final,4,235,FW,2.36,14.4,0.1638888888888889,"[-15.0, -10.0, -15.0, -15.0, -10.0, -15.0]"
,160,Rock'n'Roll-Juveniles,Final,4,235,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,160,Rock'n'Roll-Juveniles,Final,4,235,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,160,Rock'n'Roll-Juveniles,Final,5,182,DF,2.09,2.3,0.908695652173913,"[13.75, 11.25, 12.5, 11.25, 16.25, 16.25]"
,160,Rock'n'Roll-Juveniles,Final,5,182,CO,1.73,2.0,0.865,"[12.0, 8.0, 8.0, 9.0, 12.0, 11.0]"
,160,Rock'n'Roll-Juveniles,Final,5,182,FM,0.37,2.0,0.185,"[7.5, 7.5, 6.5, 7.5, 7.5, 7.5]"
,160,Rock'n'Roll-Juveniles,Final,5,182,FW,5.0,14.4,0.3472222222222222,"[-15.0, -15.0, -25.0, -25.0, -15.0, -25.0]"
,160,Rock'n'Roll-Juveniles,Final,5,182,sm,0.75,2.3,0.32608695652173914,"[0.0, -2.0, 0.0, 0.0, 0.0, 0.0]"
,160,Rock'n'Roll-Juveniles,Final,5,182,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,160,Rock'n'Roll-Juveniles,Final,6,193,DF,2.37,2.3,1.0304347826086957,"[13.75, 11.25, 15.0, 7.5, 12.5, 11.25]"
,160,Rock'n'Roll-Juveniles,Final,6,193,CO,1.37,2.0,0.685,"[11.0, 9.0, 12.0, 9.0, 12.0, 9.0]"
,160,Rock'n'Roll-Juveniles,Final,6,193,FM,1.03,2.0,0.515,"[6.5, 7.5, 7.5, 5.0, 6.5, 5.0]"
,160,Rock'n'Roll-Juveniles,Final,6,193,FW,9.32,14.4,0.6472222222222223,"[-25.0, -15.0, -10.0, -35.0, -25.0, -35.0]"
,160,Rock'n'Roll-Juveniles,Final,6,193,sm,1.49,2.3,0.6478260869565218,"[0.0, -2.0, -2.0, 0.0, -4.0, 0.0]"
,160,Rock'n'Roll-Juveniles,Final,6,193,bm,3.73,8.0,0.46625,"[-10.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,160,Rock'n'Roll-Juveniles,First round,1,193,DF,0.93,2.3,0.4043478260869566,"[13.75, 12.5, 11.25, 11.25, 11.25, 12.5]"
,160,Rock'n'Roll-Juveniles,First round,1,193,CO,1.07,2.0,0.535,"[8.0, 11.0, 10.0, 8.0, 9.0, 9.0]"
,160,Rock'n'Roll-Juveniles,First round,1,193,FM,1.18,2.0,0.59,"[7.5, 7.5, 7.5, 5.0, 7.5, 5.0]"
,160,Rock'n'Roll-Juveniles,First round,1,193,FW,5.77,14.4,0.4006944444444444,"[-25.0, -15.0, -25.0, -35.0, -25.0, -25.0]"
,160,Rock'n'Roll-Juveniles,First round,1,193,sm,0.75,2.3,0.32608695652173914,"[-2.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,160,Rock'n'Roll-Juveniles,First round,1,193,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,160,Rock'n'Roll-Juveniles,First round,1,182,DF,0.93,2.3,0.4043478260869566,"[15.0, 13.75, 12.5, 13.75, 15.0, 15.0]"
,160,Rock'n'Roll-Juveniles,First round,1,182,CO,1.37,2.0,0.685,"[8.0, 10.0, 10.0, 8.0, 10.0, 12.0]"
,160,Rock'n'Roll-Juveniles,First round,1,182,FM,0.9,2.0,0.45,"[8.5, 8.5, 6.5, 6.5, 8.5, 7.5]"
,160,Rock'n'Roll-Juveniles,First round,1,182,FW,4.71,14.4,0.32708333333333334,"[-25.0, -15.0, -25.0, -25.0, -15.0, -25.0]"
,160,Rock'n'Roll-Juveniles,First round,1,182,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,160,Rock'n'Roll-Juveniles,First round,1,182,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,160,Rock'n'Roll-Juveniles,First round,2,235,DF,1.68,2.3,0.7304347826086957,"[16.25, 15.0, 16.25, 13.75, 17.5, 12.5]"
,160,Rock'n'Roll-Juveniles,First round,2,235,CO,1.29,2.0,0.645,"[10.0, 11.0, 9.0, 11.0, 12.0, 13.0]"
,160,Rock'n'Roll-Juveniles,First round,2,235,FM,0.29,2.0,0.145,"[9.5, 8.5, 9.0, 9.0, 9.0, 9.0]"
,160,Rock'n'Roll-Juveniles,First round,2,235,FW,2.36,14.4,0.1638888888888889,"[-10.0, -10.0, -10.0, -15.0, -10.0, -15.0]"
,160,Rock'n'Roll-Juveniles,First round,2,235,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,160,Rock'n'Roll-Juveniles,First round,2,235,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,160,Rock'n'Roll-Juveniles,First round,2,153,DF,1.88,2.3,0.8173913043478261,"[11.25, 12.5, 11.25, 8.75, 12.5, 15.0]"
,160,Rock'n'Roll-Juveniles,First round,2,153,CO,1.5,2.0,0.75,"[9.0, 9.0, 7.0, 6.0, 10.0, 10.0]"
,160,Rock'n'Roll-Juveniles,First round,2,153,FM,0.84,2.0,0.42,"[6.5, 7.5, 6.5, 5.0, 7.5, 6.5]"
,160,Rock'n'Roll-Juveniles,First round,2,153,FW,6.87,14.4,0.4770833333333333,"[-35.0, -15.0, -25.0, -25.0, -25.0, -35.0]"
,160,Rock'n'Roll-Juveniles,First round,2,153,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,160,Rock'n'Roll-Juveniles,First round,2,153,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,160,Rock'n'Roll-Juveniles,First round,3,27,DF,1.68,2.3,0.7304347826086957,"[11.25, 12.5, 11.25, 10.0, 15.0, 13.75]"
,160,Rock'n'Roll-Juveniles,First round,3,27,CO,1.6,2.0,0.8,"[9.0, 7.0, 10.0, 9.0, 11.0, 12.0]"
,160,Rock'n'Roll-Juveniles,First round,3,27,FM,0.69,2.0,0.345,"[7.5, 6.5, 7.5, 6.5, 8.5, 7.5]"
,160,Rock'n'Roll-Juveniles,First round,3,27,FW,5.77,14.4,0.4006944444444444,"[-25.0, -25.0, -35.0, -25.0, -25.0, -15.0]"
,160,Rock'n'Roll-Juveniles,First round,3,27,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,160,Rock'n'Roll-Juveniles,First round,3,27,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,160,Rock'n'Roll-Juveniles,First round,3,57,DF,1.68,2.3,0.7304347826086957,"[10.0, 8.75, 12.5, 8.75, 12.5, 8.75]"
,160,Rock'n'Roll-Juveniles,First round,3,57,CO,0.37,2.0,0.185,"[8.0, 8.0, 8.0, 8.0, 8.0, 7.0]"
,160,Rock'n'Roll-Juveniles,First round,3,57,FM,0.73,2.0,0.365,"[6.5, 7.5, 6.5, 6.5, 6.5, 5.0]"
,160,Rock'n'Roll-Juveniles,First round,3,57,FW,5.59,14.4,0.3881944444444444,"[-35.0, -35.0, -35.0, -35.0, -35.0, -50.0]"
,160,Rock'n'Roll-Juveniles,First round,3,57,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,160,Rock'n'Roll-Juveniles,First round,3,57,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,160,Rock'n'Roll-Juveniles,First round,4,7,DF,1.68,2.3,0.7304347826086957,"[12.5, 8.75, 10.0, 8.75, 11.25, 7.5]"
,160,Rock'n'Roll-Juveniles,First round,4,7,CO,0.75,2.0,0.375,"[8.0, 8.0, 8.0, 7.0, 7.0, 6.0]"
,160,Rock'n'Roll-Juveniles,First round,4,7,FM,1.03,2.0,0.515,"[7.5, 5.0, 6.5, 7.5, 6.5, 5.0]"
,160,Rock'n'Roll-Juveniles,First round,4,7,FW,10.17,14.4,0.7062499999999999,"[-15.0, -35.0, -35.0, -35.0, -35.0, -50.0]"
,160,Rock'n'Roll-Juveniles,First round,4,7,sm,0.75,2.3,0.32608695652173914,"[-2.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,160,Rock'n'Roll-Juveniles,First round,4,7,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,160,Rock'n'Roll-Juveniles,First round,4,134,DF,2.13,2.3,0.9260869565217391,"[15.0, 12.5, 8.75, 10.0, 13.75, 11.25]"
,160,Rock'n'Roll-Juveniles,First round,4,134,CO,1.21,2.0,0.605,"[9.0, 11.0, 11.0, 8.0, 11.0, 9.0]"
