rt_id,Judge,tip,Category,Round,Heat,Stn,stanica,Acro 1,Acro 2,Acro 3,Acro 4,Acro 5,Acro 6,bm,turnir,Acro_7,Acro_8,fall
1886,C,A,Rock'n'Roll-Main Class Start,Final,1,118,3,-75,-25,-5,-15,-25,-100,0,157,-1,-1,0
1886,C,A,Rock'n'Roll-Main Class Start,Final,2,236,3,0,-10,-15,-25,-15,-25,0,157,-1,-1,0
1886,C,A,Rock'n'Roll-Main Class Start,Final,3,142,3,-10,-35,-25,-15,-15,-15,0,157,-1,-1,0
1886,C,A,Rock'n'Roll-Main Class Start,Final,4,226,3,-10,-15,-10,-25,-25,-25,0,157,-1,-1,0
1886,C,A,Rock'n'Roll-Main Class Start,Final,5,60,3,-10,-15,-15,-15,-5,-15,0,157,-1,-1,0
1886,D,A,Rock'n'Roll-Main Class Start,Final,1,118,4,-75,-15,-10,-15,-50,-100,0,157,-1,-1,0
1886,D,A,Rock'n'Roll-Main Class Start,Final,2,236,4,-5,-10,-25,-50,-35,-35,0,157,-1,-1,0
1886,D,A,Rock'n'Roll-Main Class Start,Final,3,142,4,-5,-35,-15,-25,-15,0,0,157,-1,-1,0
1886,D,A,Rock'n'Roll-Main Class Start,Final,4,226,4,-10,-15,-25,-25,-25,-35,0,157,-1,-1,0
1886,D,A,Rock'n'Roll-Main Class Start,Final,5,60,4,-10,-25,0,-10,0,-5,0,157,-1,-1,0
1886,F,A,Rock'n'Roll-Main Class Start,Final,1,118,6,-100,-50,-10,-35,-15,-10,0,157,-1,-1,0
1886,F,A,Rock'n'Roll-Main Class Start,Final,2,236,6,-10,-10,-10,-35,-15,-25,0,157,-1,-1,0
1886,F,A,Rock'n'Roll-Main Class Start,Final,3,142,6,-5,-35,-15,-15,-25,-25,0,157,-1,-1,0
1886,F,A,Rock'n'Roll-Main Class Start,Final,4,226,6,-10,-10,-5,-25,-35,-35,0,157,-1,-1,0
1886,F,A,Rock'n'Roll-Main Class Start,Final,5,60,6,-15,-25,-25,-15,-10,-15,0,157,-1,-1,0
1887,B,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,363,2,0,0,0,0,0,0,0,157,-1,-1,0
1887,B,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,148,2,0,0,0,0,0,0,0,157,-1,-1,0
