rt_id,Judge,tip,Category,Round,Heat,Stn,stanica,Acro 1,Acro 2,Acro 3,Acro 4,Acro 5,Acro 6,bm,turnir,Acro_7,Acro_8,fall
1953,A,A,Rock'n'Roll-Main Class Contact Style,First round,1,362,1,0,-5,-5,0,-5,-1,0,162,-1,-1,0
1953,A,A,Rock'n'Roll-Main Class Contact Style,First round,1,28,1,-50,-10,-25,-5,-25,-1,0,162,-1,-1,0
1953,A,A,Rock'n'Roll-Main Class Contact Style,First round,2,275,1,-10,-10,-25,-10,-25,-1,0,162,-1,-1,0
1953,A,A,Rock'n'Roll-Main Class Contact Style,First round,2,36,1,-10,-5,-5,-15,-15,-1,0,162,-1,-1,0
1953,A,A,Rock'n'Roll-Main Class Contact Style,First round,3,181,1,-25,-15,-5,-15,-15,-1,0,162,-1,-1,0
1953,A,A,Rock'n'Roll-Main Class Contact Style,First round,3,54,1,-10,-15,-5,-25,-15,-1,0,162,-1,-1,0
1953,A,A,Rock'n'Roll-Main Class Contact Style,First round,4,363,1,-5,-10,-5,-10,-15,-1,0,162,-1,-1,0
1953,A,A,Rock'n'Roll-Main Class Contact Style,First round,4,30,1,-99,-99,-99,-99,-99,-99,0,162,-1,-1,0
1953,C,A,Rock'n'Roll-Main Class Contact Style,First round,1,28,3,-50,-25,-15,-15,-25,-1,0,162,-1,-1,0
1953,C,A,Rock'n'Roll-Main Class Contact Style,First round,1,362,3,-5,-5,-10,-15,-10,-1,0,162,-1,-1,0
1953,C,A,Rock'n'Roll-Main Class Contact Style,First round,2,36,3,-15,-15,-15,-10,-15,-1,0,162,-1,-1,0
1953,C,A,Rock'n'Roll-Main Class Contact Style,First round,2,275,3,-15,-25,-35,-25,-25,-1,0,162,-1,-1,0
1953,C,A,Rock'n'Roll-Main Class Contact Style,First round,3,54,3,-25,-25,-25,-35,-15,-1,0,162,-1,-1,0
1953,C,A,Rock'n'Roll-Main Class Contact Style,First round,3,181,3,-35,-15,-25,-10,-10,-1,0,162,-1,-1,0
1953,C,A,Rock'n'Roll-Main Class Contact Style,First round,4,30,3,-99,-99,-99,-99,-99,-99,0,162,-1,-1,0
1953,C,A,Rock'n'Roll-Main Class Contact Style,First round,4,363,3,-5,-10,-15,-10,-15,-1,0,162,-1,-1,0
1953,F,A,Rock'n'Roll-Main Class Contact Style,First round,1,362,6,0,-10,-5,0,0,-1,0,162,-1,-1,0
1953,F,A,Rock'n'Roll-Main Class Contact Style,First round,1,28,6,-35,-15,-10,-15,-25,-1,0,162,-1,-1,0
1953,F,A,Rock'n'Roll-Main Class Contact Style,First round,2,275,6,-15,-15,-25,-25,-35,-1,0,162,-1,-1,0
1953,F,A,Rock'n'Roll-Main Class Contact Style,First round,2,36,6,-10,-5,-5,0,-10,-1,0,162,-1,-1,0
1953,F,A,Rock'n'Roll-Main Class Contact Style,First round,3,181,6,-15,-10,-10,-10,-15,-1,0,162,-1,-1,0
1953,F,A,Rock'n'Roll-Main Class Contact Style,First round,3,54,6,-10,-15,-10,-25,-25,-1,0,162,-1,-1,0
1953,F,A,Rock'n'Roll-Main Class Contact Style,First round,4,363,6,0,-10,-5,-5,-5,-1,0,162,-1,-1,0
1953,F,A,Rock'n'Roll-Main Class Contact Style,First round,4,30,6,-99,-99,-99,-99,-99,-99,0,162,-1,-1,0
1963,B,A,Rock'n'Roll-Couples Formation Main Class,Final,1,123,2,-15,-50,-25,-35,-15,-50,0,162,-35,-10,0
1963,C,A,Rock'n'Roll-Couples Formation Main Class,Final,1,123,3,-15,-35,-35,-35,-15,-50,0,162,-35,-15,0
1963,F,A,Rock'n'Roll-Couples Formation Main Class,Final,1,123,6,-15,-35,-15,-50,-35,-50,0,162,-25,-15,0
1971,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,36,1,0,0,0,0,0,0,0,162,-1,-1,0
1971,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,181,1,0,0,0,0,0,0,0,162,-1,-1,0
1971,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,363,1,0,0,0,0,0,0,0,162,-1,-1,0
1971,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,28,1,0,0,0,0,0,0,0,162,-1,-1,0
1971,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,362,1,0,0,0,0,0,0,0,162,-1,-1,0
1971,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,54,1,0,0,0,0,0,0,0,162,-1,-1,0
1971,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,36,3,0,0,0,0,0,0,0,162,-1,-1,0
1971,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,181,3,0,0,0,0,0,0,0,162,-1,-1,0
1971,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,363,3,0,0,0,0,0,0,0,162,-1,-1,0
1971,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,28,3,0,0,0,0,0,0,0,162,-1,-1,0
1971,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,362,3,0,0,0,0,0,0,0,162,-1,-1,0
1971,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,54,3,0,0,0,0,0,0,0,162,-1,-1,0
1971,F,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,36,6,0,0,0,0,0,0,0,162,-1,-1,0
1971,F,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,181,6,0,0,0,0,0,0,0,162,-1,-1,0
1971,F,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,363,6,0,0,0,0,0,0,0,162,-1,-1,0
1971,F,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,28,6,0,0,0,0,0,0,0,162,-1,-1,0
1971,F,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,362,6,0,0,0,0,0,0,0,162,-1,-1,0
1971,F,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,54,6,0,0,0,0,0,0,0,162,-1,-1,0
1972,B,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,1,172,2,0,0,0,0,0,0,0,162,-1,-1,0
1972,B,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,2,184,2,0,0,0,0,0,0,0,162,-1,-1,0
1972,B,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,3,63,2,0,0,0,0,0,0,0,162,-1,-1,0
1972,B,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,4,41,2,0,0,0,0,0,0,0,162,-1,-1,0
1972,B,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,5,47,2,0,0,0,0,0,0,0,162,-1,-1,0
1972,B,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,6,86,2,0,0,0,0,0,0,0,162,-1,-1,0
1972,D,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,1,172,4,0,0,0,0,0,0,0,162,-1,-1,0
1972,D,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,2,184,4,0,0,0,0,0,0,0,162,-1,-1,0
1972,D,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,3,63,4,0,0,0,0,0,0,0,162,-1,-1,0
1972,D,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,4,41,4,0,0,0,0,0,0,0,162,-1,-1,0
1972,D,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,5,47,4,0,0,0,0,0,0,0,162,-1,-1,0
1972,D,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,6,86,4,0,0,0,0,0,0,0,162,-1,-1,0
1972,F,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,1,172,6,0,0,0,0,0,0,0,162,-1,-1,0
1972,F,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,2,184,6,0,0,0,0,0,0,0,162,-1,-1,0
1972,F,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,3,63,6,0,0,0,0,0,0,0,162,-1,-1,0
1972,F,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,4,41,6,0,0,0,0,0,0,0,162,-1,-1,0
1972,F,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,5,47,6,0,0,0,0,0,0,0,162,-1,-1,0
1972,F,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,6,86,6,0,0,0,0,0,0,0,162,-1,-1,0
1976,A,A,Rock'n'Roll-Main Class Start,Final,1,223,1,-35,-25,-75,-35,-35,-35,0,162,-1,-1,0
1976,A,A,Rock'n'Roll-Main Class Start,Final,2,142,1,-10,-25,-15,-25,-15,-15,0,162,-1,-1,0
1976,A,A,Rock'n'Roll-Main Class Start,Final,3,118,1,-5,-25,-10,-15,-10,-15,0,162,-1,-1,0
1976,A,A,Rock'n'Roll-Main Class Start,Final,4,236,1,-5,-15,-10,-10,-15,-50,0,162,-1,-1,0
1976,A,A,Rock'n'Roll-Main Class Start,Final,5,176,1,-25,-35,-35,-35,-35,-15,0,162,-1,-1,0
1976,A,A,Rock'n'Roll-Main Class Start,Final,6,226,1,-5,-15,-15,-10,-15,-15,0,162,-1,-1,0
1976,B,A,Rock'n'Roll-Main Class Start,Final,1,223,2,-25,-25,-75,-35,-35,-35,0,162,-1,-1,0
1976,B,A,Rock'n'Roll-Main Class Start,Final,2,142,2,-5,-15,-5,-5,-5,-10,0,162,-1,-1,0
1976,B,A,Rock'n'Roll-Main Class Start,Final,3,118,2,-5,-5,-10,-15,-5,0,0,162,-1,-1,0
1976,B,A,Rock'n'Roll-Main Class Start,Final,4,236,2,-15,-5,-5,-10,-15,-15,0,162,-1,-1,0
1976,B,A,Rock'n'Roll-Main Class Start,Final,5,176,2,-15,-25,-35,-10,-10,-15,0,162,-1,-1,0
1976,B,A,Rock'n'Roll-Main Class Start,Final,6,226,2,-5,-15,-10,-5,-5,-5,0,162,-1,-1,0
1976,C,A,Rock'n'Roll-Main Class Start,Final,1,223,3,-25,-25,-50,-25,-15,-25,0,162,-1,-1,0
1976,C,A,Rock'n'Roll-Main Class Start,Final,2,142,3,-15,-15,-10,-15,-25,-10,0,162,-1,-1,0
1976,C,A,Rock'n'Roll-Main Class Start,Final,3,118,3,-15,-15,-25,-25,-10,-25,0,162,-1,-1,0
1976,C,A,Rock'n'Roll-Main Class Start,Final,4,236,3,-15,-15,-10,-15,-15,-25,0,162,-1,-1,0
1976,C,A,Rock'n'Roll-Main Class Start,Final,5,176,3,-25,-35,-25,-15,-25,-25,0,162,-1,-1,0
1976,C,A,Rock'n'Roll-Main Class Start,Final,6,226,3,-5,-10,-15,-15,-15,-10,0,162,-1,-1,0
1977,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,362,1,-5,0,-5,-10,-10,-5,0,162,-1,-1,0
1977,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,28,1,-99,-99,-99,-99,-99,-99,0,162,-1,-1,0
1977,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,363,1,-5,-15,-10,-5,-15,-15,0,162,-1,-1,0
1977,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,36,1,-15,-15,-15,-10,-25,-10,0,162,-1,-1,0
1977,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,54,1,-35,-25,-35,-15,-75,-75,0,162,-1,-1,0
1977,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,181,1,-35,-25,-15,-15,-15,-25,0,162,-1,-1,0
1977,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,362,3,-5,-5,-10,-5,-10,-10,0,162,-1,-1,0
1977,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,28,3,-99,-99,-99,-99,-99,-99,0,162,-1,-1,0
1977,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,363,3,-10,-10,-10,-5,-15,-15,0,162,-1,-1,0
1977,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,36,3,-15,-15,-15,-10,-15,-15,0,162,-1,-1,0
1977,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,54,3,-25,-15,-15,-25,-50,-35,0,162,-1,-1,0
1977,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,181,3,-25,-25,-15,-25,-15,-10,0,162,-1,-1,0
1977,F,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,362,6,0,0,-5,-5,0,-5,0,162,-1,-1,0
1977,F,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,28,6,-99,-99,-99,-99,-99,-99,0,162,-1,-1,0
1977,F,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,363,6,-5,-5,-5,0,-5,-10,0,162,-1,-1,0
1977,F,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,36,6,-10,-5,-5,-10,-15,-10,0,162,-1,-1,0
1977,F,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,54,6,-15,-10,-15,-5,-50,-25,0,162,-1,-1,0
1977,F,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,181,6,-10,-15,-10,-10,-10,-10,0,162,-1,-1,0
1978,B,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,1,184,2,-15,-5,-25,-15,-10,-5,0,162,-1,-1,0
1978,B,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,2,47,2,-99,-99,-99,-99,-99,-99,0,162,-1,-1,0
1978,B,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,3,41,2,-35,-15,-25,-25,-5,-10,0,162,-1,-1,0
1978,B,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,4,86,2,-10,-5,-10,-5,-5,-10,0,162,-1,-1,0
1978,B,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,5,63,2,-10,-15,-10,-35,-10,-10,0,162,-1,-1,0
1978,B,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,6,172,2,-10,-25,-25,-5,-35,-10,0,162,-1,-1,0
1978,D,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,1,184,4,-10,-15,-25,-15,-5,-10,0,162,-1,-1,0
1978,D,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,2,47,4,-99,-99,-99,-99,-99,-99,0,162,-1,-1,0
1978,D,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,3,41,4,-35,-25,-25,-35,-10,-15,0,162,-1,-1,0
1978,D,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,4,86,4,-10,-10,-10,0,0,-15,0,162,-1,-1,0
1978,D,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,5,63,4,-10,-15,-25,-50,-15,-15,0,162,-1,-1,0
1978,D,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,6,172,4,-10,-35,-35,-10,-25,-15,0,162,-1,-1,0
1978,F,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,1,184,6,0,-5,-10,-15,-10,-5,0,162,-1,-1,0
1978,F,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,2,47,6,-99,-99,-99,-99,-99,-99,0,162,-1,-1,0
1978,F,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,3,41,6,-25,-10,-15,-15,-5,-10,0,162,-1,-1,0
1978,F,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,4,86,6,-5,-5,0,-5,-5,-15,0,162,-1,-1,0
1978,F,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,5,63,6,-5,-15,-10,-25,-10,-10,0,162,-1,-1,0
1978,F,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,6,172,6,-15,-15,-15,-5,-25,-15,0,162,-1,-1,0
