rt_id,Judge,Type,Category,Round,Heat,Stn,stanica,FW,FM,DF,CO,sm,bm,turnir,krit,val1,val2,val3,Acro 1,Acro 2,Acro 3,Acro 4,Acro 5,Acro 6,Acro 7,Acro 8
1944,A,,Rock'n'Roll-Small Formation Juniors,First round,1,151,1,-35,7,6,4.5,-6,0,162,DF,0.5,1,1.5,0,0,0,0,0,0,-1,-1
1944,A,,Rock'n'Roll-Small Formation Juniors,First round,1,151,1,-35,7,6,4.5,-6,0,162,FM,1,1,1.5,0,0,0,0,0,0,-1,-1
1944,A,,Rock'n'Roll-Small Formation Juniors,First round,1,151,1,-35,7,6,4.5,-6,0,162,CO,0.5,1,1.5,0,0,0,0,0,0,-1,-1
1944,A,,Rock'n'Roll-Small Formation Juniors,First round,2,102,1,-15,10,8,6.75,-2,0,162,CO,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1944,A,,Rock'n'Roll-Small Formation Juniors,First round,2,102,1,-15,10,8,6.75,-2,0,162,DF,1.5,1,1.5,0,0,0,0,0,0,-1,-1
1944,A,,Rock'n'Roll-Small Formation Juniors,First round,2,102,1,-15,10,8,6.75,-2,0,162,FM,1.5,1.5,2,0,0,0,0,0,0,-1,-1
1944,A,,Rock'n'Roll-Small Formation Juniors,First round,3,158,1,-10,10,8,7.5,-2,0,162,DF,1.5,1.5,1,0,0,0,0,0,0,-1,-1
1944,A,,Rock'n'Roll-Small Formation Juniors,First round,3,158,1,-10,10,8,7.5,-2,0,162,FM,1.5,1.5,2,0,0,0,0,0,0,-1,-1
1944,A,,Rock'n'Roll-Small Formation Juniors,First round,3,158,1,-10,10,8,7.5,-2,0,162,CO,1,2,2,0,0,0,0,0,0,-1,-1
1944,A,,Rock'n'Roll-Small Formation Juniors,First round,4,273,1,-25,7,5,6.75,-4,0,162,DF,0.5,1,1,0,0,0,0,0,0,-1,-1
1944,A,,Rock'n'Roll-Small Formation Juniors,First round,4,273,1,-25,7,5,6.75,-4,0,162,FM,1,1,1.5,0,0,0,0,0,0,-1,-1
1944,A,,Rock'n'Roll-Small Formation Juniors,First round,4,273,1,-25,7,5,6.75,-4,0,162,CO,1.5,1,2,0,0,0,0,0,0,-1,-1
1944,A,,Rock'n'Roll-Small Formation Juniors,First round,5,271,1,-5,10,10,7.5,0,0,162,FM,1.5,1.5,2,0,0,0,0,0,0,-1,-1
