rt_id,Judge,Type,Category,Round,Heat,Stn,stanica,FW,FM,DF,CO,sm,bm,turnir,krit,val1,val2,val3,Acro 1,Acro 2,Acro 3,Acro 4,Acro 5,Acro 6,Acro 7,Acro 8
1919,A,,Rock'n'Roll-Kids,Final,1,66,1,-35,6.5,12.5,8,0,0,160,DF,1.5,1.5,2,0,0,0,0,0,0,-1,-1
1919,A,,Rock'n'Roll-Kids,Final,1,66,1,-35,6.5,12.5,8,0,0,160,CO,1.5,1.5,1,0,0,0,0,0,0,-1,-1
1919,A,,Rock'n'Roll-Kids,Final,2,6,1,-50,5,7.5,7,-4,0,160,CO,1,1.5,1,0,0,0,0,0,0,-1,-1
1919,A,,Rock'n'Roll-Kids,Final,2,6,1,-50,5,7.5,7,-4,0,160,DF,1,1,1,0,0,0,0,0,0,-1,-1
1919,A,,Rock'n'Roll-Kids,Final,3,242,1,-15,7.5,13.75,9,0,0,160,CO,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1919,A,,Rock'n'Roll-Kids,Final,3,242,1,-15,7.5,13.75,9,0,0,160,DF,2,2,1.5,0,0,0,0,0,0,-1,-1
1919,B,,Rock'n'Roll-Kids,Final,1,66,2,-35,7.5,10,9,0,0,160,DF,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1919,B,,Rock'n'Roll-Kids,Final,1,66,2,-35,7.5,10,9,0,0,160,CO,1,1.5,2,0,0,0,0,0,0,-1,-1
1919,B,,Rock'n'Roll-Kids,Final,2,6,2,-35,5,6.25,4,-10,0,160,CO,0.5,0.5,1,0,0,0,0,0,0,-1,-1
1919,B,,Rock'n'Roll-Kids,Final,2,6,2,-35,5,6.25,4,-10,0,160,DF,1,0.5,1,0,0,0,0,0,0,-1,-1
1919,B,,Rock'n'Roll-Kids,Final,3,242,2,-15,5,10,10,0,0,160,CO,1.5,1.5,2,0,0,0,0,0,0,-1,-1
1919,B,,Rock'n'Roll-Kids,Final,3,242,2,-15,5,10,10,0,0,160,DF,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1919,C,,Rock'n'Roll-Kids,Final,1,66,3,-35,5,11.25,8,0,0,160,CO,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1919,C,,Rock'n'Roll-Kids,Final,1,66,3,-35,5,11.25,8,0,0,160,DF,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1919,C,,Rock'n'Roll-Kids,Final,2,6,3,-50,5,6.25,7,-4,0,160,CO,1,1.5,1,0,0,0,0,0,0,-1,-1
1919,C,,Rock'n'Roll-Kids,Final,2,6,3,-50,5,6.25,7,-4,0,160,DF,1,0.5,1,0,0,0,0,0,0,-1,-1
1919,C,,Rock'n'Roll-Kids,Final,3,242,3,-25,5,11.25,10,0,0,160,CO,1.5,2,1.5,0,0,0,0,0,0,-1,-1
1919,C,,Rock'n'Roll-Kids,Final,3,242,3,-25,5,11.25,10,0,0,160,DF,1,2,1.5,0,0,0,0,0,0,-1,-1
1919,D,,Rock'n'Roll-Kids,Final,1,66,4,-35,5,11.25,8,0,0,160,CO,1.5,1.5,1,0,0,0,0,0,0,-1,-1
1919,D,,Rock'n'Roll-Kids,Final,1,66,4,-35,5,11.25,8,0,0,160,DF,2,1,1.5,0,0,0,0,0,0,-1,-1
1919,D,,Rock'n'Roll-Kids,Final,2,6,4,-50,2.5,8.75,8,-10,0,160,CO,1,2,1,0,0,0,0,0,0,-1,-1
1919,D,,Rock'n'Roll-Kids,Final,2,6,4,-50,2.5,8.75,8,-10,0,160,DF,1,0.5,2,0,0,0,0,0,0,-1,-1
1919,D,,Rock'n'Roll-Kids,Final,3,242,4,-35,5,11.25,8,0,0,160,CO,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1919,D,,Rock'n'Roll-Kids,Final,3,242,4,-35,5,11.25,8,0,0,160,DF,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1919,E,,Rock'n'Roll-Kids,Final,1,66,5,-25,6.5,8.75,5,0,0,160,DF,1,1,1.5,0,0,0,0,0,0,-1,-1
1919,E,,Rock'n'Roll-Kids,Final,1,66,5,-25,6.5,8.75,5,0,0,160,CO,1,1,0.5,0,0,0,0,0,0,-1,-1
1919,E,,Rock'n'Roll-Kids,Final,2,6,5,-50,2.5,7.5,4,0,-10,160,CO,0.5,0.5,0.5,0,0,0,0,0,0,-1,-1
1919,E,,Rock'n'Roll-Kids,Final,2,6,5,-50,2.5,7.5,4,0,-10,160,DF,0.5,1,1.5,0,0,0,0,0,0,-1,-1
1919,E,,Rock'n'Roll-Kids,Final,3,242,5,-25,7.5,12.5,9,0,0,160,CO,1.5,1,1.5,0,0,0,0,0,0,-1,-1
1919,E,,Rock'n'Roll-Kids,Final,3,242,5,-25,7.5,12.5,9,0,0,160,DF,2,1,2,0,0,0,0,0,0,-1,-1
1919,F,,Rock'n'Roll-Kids,Final,1,66,6,-50,5,8.75,6,0,0,160,CO,1,1,1,0,0,0,0,0,0,-1,-1
1919,F,,Rock'n'Roll-Kids,Final,1,66,6,-50,5,8.75,6,0,0,160,DF,1,1.5,1,0,0,0,0,0,0,-1,-1
1919,F,,Rock'n'Roll-Kids,Final,2,6,6,-75,2.5,7.5,6,-8,0,160,CO,1,1,1,0,0,0,0,0,0,-1,-1
1919,F,,Rock'n'Roll-Kids,Final,2,6,6,-75,2.5,7.5,6,-8,0,160,DF,1,1,1,0,0,0,0,0,0,-1,-1
1919,F,,Rock'n'Roll-Kids,Final,3,242,6,-35,6.5,15,10,0,0,160,CO,1.5,2,1.5,0,0,0,0,0,0,-1,-1
1919,F,,Rock'n'Roll-Kids,Final,3,242,6,-35,6.5,15,10,0,0,160,DF,2,2,2,0,0,0,0,0,0,-1,-1
1920,A,,Rock'n'Roll-Beginners,Final,1,131,1,-35,6.5,11.25,8,0,0,160,CO,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1920,A,,Rock'n'Roll-Beginners,Final,1,131,1,-35,6.5,11.25,8,0,0,160,DF,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1920,A,,Rock'n'Roll-Beginners,Final,2,3,1,-25,8.5,13.75,10,0,0,160,CO,1.5,2,1.5,0,0,0,0,0,0,-1,-1
1920,A,,Rock'n'Roll-Beginners,Final,2,3,1,-25,8.5,13.75,10,0,0,160,DF,2,1.5,2,0,0,0,0,0,0,-1,-1
1920,A,,Rock'n'Roll-Beginners,Final,3,218,1,-50,5,7.5,7,0,0,160,CO,1,1.5,1,0,0,0,0,0,0,-1,-1
1920,A,,Rock'n'Roll-Beginners,Final,3,218,1,-50,5,7.5,7,0,0,160,DF,1,1,1,0,0,0,0,0,0,-1,-1
1920,A,,Rock'n'Roll-Beginners,Final,4,238,1,-35,6.5,8.75,10,0,0,160,DF,1,1,1.5,0,0,0,0,0,0,-1,-1
1920,A,,Rock'n'Roll-Beginners,Final,4,238,1,-35,6.5,8.75,10,0,0,160,CO,1.5,2,1.5,0,0,0,0,0,0,-1,-1
1920,B,,Rock'n'Roll-Beginners,Final,1,131,2,-35,7.5,10,10,0,0,160,CO,2,1.5,1.5,0,0,0,0,0,0,-1,-1
1920,B,,Rock'n'Roll-Beginners,Final,1,131,2,-35,7.5,10,10,0,0,160,DF,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1920,B,,Rock'n'Roll-Beginners,Final,2,3,2,-15,7.5,12.5,9,0,0,160,CO,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1920,B,,Rock'n'Roll-Beginners,Final,2,3,2,-15,7.5,12.5,9,0,0,160,DF,1.5,1.5,2,0,0,0,0,0,0,-1,-1
1920,B,,Rock'n'Roll-Beginners,Final,3,218,2,-35,6.5,10,8,0,0,160,CO,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1920,B,,Rock'n'Roll-Beginners,Final,3,218,2,-35,6.5,10,8,0,0,160,DF,1.5,1,1.5,0,0,0,0,0,0,-1,-1
1920,B,,Rock'n'Roll-Beginners,Final,4,238,2,-50,6.5,11.25,9,0,0,160,CO,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1920,B,,Rock'n'Roll-Beginners,Final,4,238,2,-50,6.5,11.25,9,0,0,160,DF,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1920,C,,Rock'n'Roll-Beginners,Final,1,131,3,-15,7.5,13.75,10,0,0,160,CO,1.5,2,1.5,0,0,0,0,0,0,-1,-1
